,text,label
85,"Interview with Liz Mumby, independent candidate in Australian by-election for the Victorian state electorate of Altona",0
86,"After Her Photographer Was A No-Show For Her Wedding, This Bride Received A Surprise Of A Lifetime",1
87,"This Mom's Parody Of The Weeknd's ""I Can't Feel My Face"" Totally Nails Back-To-School Life",1
88,These Photos Of A Dog Dressed As 12 Different Disney Characters Will Totally Make You Smile,1
89,"Here's An Eye-Opening Reminder From J.K. Rowling That You're Probably Saying ""Voldemort"" Wrong",1
90,"An Australian Was Mobbed, Harassed, And Threatened In India Because He Had A Hindu Goddess Tattoo",1
91,Tape Contouring Is About To Be Either Your New Favorite Thing Or A Total Waste Of Office Supplies,1
92,Japan raises severity level of crisis; efforts to cool damaged nuclear power plant continue,0
93,Football: FA charges Chelsea for player misconduct; John Terry investigated over alleged racial abuse,0
94,"After Being Called ""Indian Piece Of Shit,"" A Student Wrote This Moving Facebook Post About Racism",1
95,"Maine, USA, Land Use Regulatory Commission approves reconstruction of camps on protected Allagash River",0
96,"This Reunion Interview With The Cast Of ""Willy Wonka & The Chocolate Factory"" Hits The Feels",1
97,Janet Hubert Called Out Will And Jada Pinkett Smith For Suggesting Black Actors Boycott The Oscars,1
98,"Wikinews interviews Patricia Petersen, independent candidate for the electorate of Bundamba in the 2009 Queensland election",0
99,Australian rules football: Traralgon defeat Warragul in round 14 of 2010 Gippsland Football League season,0
100,"A Reporter Claims She Was Harassed And Called ""Prostitute"" At A March To Show India's Tolerance",1
101,"Discontinued Starbucks Polar Bear Cookies Are Getting Dragged Into Another ""War On Christmas""",1
102,"Former President Roh Moo-hyun of South Korea, Embroiled in Bribery Scandal, Was Overwhelmed by Despair",0
103,Liam Hemsworth Dressed Like A Panda And Carried Jennifer Lawrence's Purse Along The Great Wall Of China,1
104,"Kenan Thompson And Kel Mitchell Reunited On ""The Tonight Show"" And Our '90s Dreams Came True",1
105,Someone Keeps Accidentally Texting A Guy With An Awesome Beard And His Replies Are Hilarious,1
106,Watch This Nerdy Daredevil Solve A Rubik's Cube While Skydiving While Your Stomach Falls Out Of Your Ass,1
107,"Memorial unveiled to mark 50th anniversary of deaths of 47 miners in Lanarkshire, Scotland",0
108,"Poll shows Préval with clear lead, but ineligible candidate Siméus could have presented a challenge",0
109,Here's What Happened When Twentysomethings Tried Cooking Their Family Recipes For The First Time,1
110,"Ukraine opposition candidate Yushchenko is suffering from a Dioxin intoxication, doctors say",0
111,UK scientists discover multiple antibiotics used by fungus-farming ants to protect colonies,0
112,"Surprise demolition of partially collapsed building in Buffalo, New York met with opposition",0
113,Watch Asif Confess What It's Like When A Breakup With Your Best Friend Becomes A Massive Meme,1
114,Tell Us How You Feel About These Pictures And We'll Tell You How Big Of A Perfectionist You Are,1
115,Amandla Stenberg And Solange Knowles Shout Each Other Out On Instagram And It's The Best Girl Power Moment Ever,1
116,"Temporary restraining order stops demolition of partially collapsed building in Buffalo, New York",0
117,The Police Only Started This Woman's Stabbing Investigation Because Farhan Akhtar Intervened,1
118,Stanford physicists print smallest-ever letters 'SU' at subatomic level of 1.5 nanometres tall,0
119,Dibaba’s comeback: Long-distance track star wins her first World Championship title since 2007,0
120,"Emma Stone And Lena Dunham Came Up With 11 Things You Can Call Them Other Than ""Sweetheart""",1
121,"Daniel Radcliffe Really Wants You To Know That He Didn't Masturbate On The Set Of ""Harry Potter""",1
122,"According To Taylor Swift's Twitter Faves, She And Calvin Harris Are Probably Still Together",1
123,'Buried' video surfaces of police making mass arrests during the Republican National Convention,0
124,Proof God Is A Gay Man Or Straight Woman Because Ryan Reynolds Is Officially A Silver Daddy,1
125,Anonymous people reveal animal cruelty at Australian Inghams poultry producer factory using CCTV footage,0
126,"Workers' Movement and other social movements support Lula, Senators warn of 'Chavenization'",0
127,This Married Couple Had An Honest Discussion About Their Relationship And Their Very Real Age Difference,1
128,"US president Obama, Congress call for blocking of executive bonuses at AIG insurance company",0
129,This Was What The World Was Like The Last Time Someone Sold Over 2 Million Albums In One Week,1
130,"We Know Your Favorite ""Gossip Girl"" Character Based On Your Favorite ""Harry Potter"" Character",1
131,A 9-Year-Old Boy With Cerebral Palsy Won Everton's Goal Of The Month Contest And The Whole Thing Is Amazing,1
132,US presidential candidate Barack Obama's lead increases after Democratic National Convention,0
133,England; Australia set to battle for right to host 2018 Football (Soccer) World Cup while U.S. are considering their options,0
134,"Chinese earthquake: Death toll reaches almost 15,000 as 'dangerous' cracks found in dam near city",0
135,"Wikinews interviews former New Mexico governor Gary Johnson, presidential nominee of the Libertarian Party",0
136,Gorgeous Set Photos From The Upcoming Film About Legendary Trans Activist Marsha P. Johnson,1
137,"These People Complaining About ""The Wiz"" Seem To Have Forgotten That ""The Wizard Of Oz"" Exists",1
138,A Museum's Cleaners Put A Modern Art Installation In The Bin Because They Thought It Was Rubbish,1
139,"Disney Has Released The First Two Teasers For Tim Burton's ""Alice Through The Looking Glass""",1
140,"Taylor Swift And Haim Danced Flawlessly While Nelly Sang ""Hot In Herre"" On The 1989 World Tour",1
141,This Man With Down Syndrome Totally Transformed Himself To Compete In A Bodybuilding Contest,1
142,"Your Weekly Gossip Roundup: Shia LaBeouf Gets Arrested, Pippa Middleton Splits With Her Boyfriend, And More",1
143,This Incredible Social Experiment Reveals The Many Ways India Is Keeping Its Women In The Dark,1
144,"Natalie Dormer And Sam Claflin Play A Game To See How They'd Actually Last In ""The Hunger Games""",1
145,Jennifer Lawrence Does Her Best Britney Spears Impression In This Endearingly Awkward Video,1
146,Indians And Pakistanis Are Using The Hashtag #ProfileForPeace To Send Each Other Messages Of Love,1
147,U.S. military denies reports helicopter opened fire on Libyan civilians during rescue mission,0
148,"Do You Remember The Lyrics To ""Welcome To The Tipton"" From ""The Suite Life Of Zack And Cody""",1
149,"Your Weekly Gossip Roundup: Jon Hamm Splits With Jennifer Westfeldt, Chris Hardwick Gets Engaged, And More",1
150,Trying To Decide If Chris Or Liam Hemsworth Is Hotter At The Airport Will Be The Death Of You,1
151,"Judge orders residents and city to come to agreement on partially collapsed building in Buffalo, New York",0
152,Anne Hathaway Shared An Empowering Photo When Paparazzi Tried To Take Pictures Of Her Baby Bump,1
153,"This Awesome Dad Built A Backyard Course For His 3-Year-Old Who Loves ""American Ninja Warrior""",1
154,Kylie Jenner And Jenna Marbles Read Mean Tweets About Their Dogs And It Was Hilariously Mean,1
155,"Alex Trebek Got Tricked Into Saying ""Turd Ferguson"" On ""Jeopardy,"" So Our Work Here Is Done",1
156,"Eurovision '73 winner Anne Marie David discusses her four-decade career and the Contest, past and present",0
157,Democratic Republic of Congo: UN expert accuses soldiers of killing 50 Hutu refugees in North Kivu,0
158,"Please Enjoy This Optical Illusion Of A Massive Penis In A Cup, Featuring The Chuckle Brothers",1
159,"Australian rules football: Traralgon, Maffra two games clear on top of 2010 Gippsland Football League ladder",0
160,Justin Timberlake Judged Ellen DeGeneres And Jimmy Fallon In A Lip Sync Battle For The Ages,1
161,Air safety group says airport was operating illegally without license when Garuda Indonesia Flight 200 crashed,0
162,News services and web companies increase Farsi services in light of Iranian political situation,0
163,Are You More Kendall Or Kylie Or A High-Tech A.I. That Doesn't Know It's A Computer Simulation,1
164,Electric company faces lawsuits from residents of California neighborhood destroyed by explosion,0
165,This Guy Celebrated A Bachelor Party Alone After The Rest Of The Wedding Party Got Stranded,1
166,"NFL: Packers defeat Lions 31–21, Lions become first team to finish season with 0-16 record",0
167,2008 Taiwan presidential election: First official debate with citizen journalists' participation,0
168,"The Dude Who Follows His Wife Around The World Came Back To India, And He's Still Killing It",1
169,"Former Illinois governor Blagojevich asks US Supreme Court to delay corruption trial, prosecutors to respond by Friday",0
170,"Eurovision '82 winner Nicole talks about 'Ein bißchen Frieden', her success and the Contest today",0
171,"United Church of Christ endorses same-sex marriage, largest Christian denomination to do so",0
172,"Passenger dies after fire in toilet on train in Bedfordshire, England; serious rail disruption",0
173,"Your Weekly Gossip Roundup: Justin Long And Amanda Seyfried Call It Quits, Blake Lively Shuts Down Her Website, And More",1
174,United Nations condemns Palestinian rocket attacks and Israel's 'disproportionate' response,0
175,"Michael Jackson film ""This Is It"" to be premiered in at least 15 world cities simultaneously",0
176,Egyptian prime minister steps down; armed forces appoint former transport minister to position,0
177,Archbishop of Canterbury: Church's attitude to same-sex marriage considered 'wicked' by the young,0
178,Philippine Foreign Secretary Del Rosario to visit China amid South China Sea territorial dispute,0
179,British foreign secretary: 'President Mugabe persists in his ambition to steal the election',0
180,"Reminder That Daniel Radcliffe's ""Harry Potter"" Audition Is Literally The Cutest Thing You'll Ever See",1
181,These Women Used Periscope For The First Time And Felt Like They Were Being Catcalled On The Internet,1
182,Alaskan Governor and Republican U.S. vice presidential nominee Sarah Palin's email account hacked,0
183,"Thousands of pounds worth of damage caused to railway station and stonework in Bath, England",0
184,Thierry Henry Reacted Brilliantly To Brendan Rodgers Getting Sacked And It Became A Huge Meme,1
185,Wikinews interviews Dr Thomas Scotto and Dr Steve Hewitt about potential US military intervention in Syria,0
186,Thousands of Filipinos call for President Arroyo's resignation; former presidents join protest,0
187,Please Take A Moment Out Of Your Day To Look At This Stunning Aishwarya Rai Bachchan Photo Shoot,1
188,This Woman Hid A Positive Pregnancy Test In An Apple Watch Box To Surprise Her Husband On His Birthday,1
189,"A List Of The Most Romantic Jim & Pam Episodes Of ""The Office"" To Binge-Watch On Valentine's Day",1
190,"I Saw ""The Force Awakens"" Without Seeing Any Other ""Star Wars"" Movie And This Is What Happened",1
191,Someone Please Teach The BBC How Tennis Works; They Keep Reporting Hingis Won Doubles Matches Alone,1
192,UK opposition leader calls for Burma aid to be dispatched by air if access for aid workers does not improve,0
193,"Judge demands better conditions in Maricopa County Jail, Arizona; both sides claim victory",0
194,"Tony Snow, former White House Press Secretary and ""Fox News Sunday"" anchor, dies at age 53",0
195,Oil spewing from crack in seafloor of Gulf of Mexico was fifty feet from Deepwater Horizon well,0
196,"We Know Your Favorite ""Game Of Thrones"" Character Based On Your Favorite ""Harry Potter"" Character",1
197,UK Parliamentary Commissioner for Standards to investigate Nadine Dorries reality TV appearance,0
198,These Cute Kids Were Hooked Up To A Lie Detector Test In Front Of Santa And It Was Adorable,1
199,"Jenna Fischer And John Krasinski Were ""Genuinely In Love"" While Filming ""The Office"" And Now Our Hearts Are Melting",1
200,Watch This Guy Age From 12 To 20 Years Old In Two Minutes With This Incredible Selfie Time Lapse,1
201,Sunshine Coast Rugby Union round 19: Fraser Coast score three tries in twenty minutes in loss to University,0
202,"A Man Named ""Phuc Dat Bich"" Posted His Passport Photo To Facebook After Being Banned Multiple Times",1
203,"President Obama, Please Do The Right Thing And Make Nicolas Cage The Next Supreme Court Justice",1
204,United Nations suspends operations in Gaza after schools and trucks are hit by Israeli forces,0
205,Peace talks: Syria's President calls upon France to intervene whilst rejecting direct talks with Israel,0
206,This Sikh Man's Tweet After The Paris Terror Attacks Captured What Religion Should Be About,1
207,"The Isolated Vocal Track Of Freddie Mercury And David Bowie Singing ""Under Pressure"" Is Amazing",1
208,CanadaVOTES: Animal Alliance (AAEVPC) candidate Marie Crawford running in Toronto—Danforth,0
209,"School on Australia's Sunshine Coast makes staff redundant, requests they apply for 'new' jobs",0
210,Canada's Health Minister will attempt to stop Americans from buying prescription drugs in bulk,0
211,A Couple Did A Stunning Photo Shoot With Their Baby After Learning She Had An Inoperable Brain Tumor,1
212,Australian rules football: 2010 Gippsland Football League round 10 - Leongatha v Wonthaggi,0
213,This One Tweet Helped The Indian Railway Ministry Save A 19-Year-Old From Human Traffickers,1
214,Wikinews interviews Dr. Michael Mazilu on creating world's fastest spinning manmade object,0
215,Creationism and intelligent design have no place in the UK science curriculum says UK Government,0
216,I Made My Friend Wear A Left Shark Costume For The Entire Super Bowl And Here's What Happened,1
217,"'Have them all shot': BBC gets 21,000+ complaints over Jeremy Clarkson's public sector striker comments",0
218,UK's Greater Manchester Police charge man with drug possession after trick-or-treating children allegedly given cocaine,0
219,"Mitt Romney suspends his United States presidential campaign, McCain and Huckabee remain fighting for GOP nomination",0
220,Australian rules football: 2010 Gippsland Football League round 11 - Wonthaggi v Traralgon,0
221,"The Director Of ""American Hustle"" Has Responded To Jennifer Lawrence's Critique Of Pay Inequality",1
222,What The Hell Is Going On With Harry Styles And Gigi Hadid's Awkward Interaction At The AMAs,1
223,Help Us Settle The Debate That's Quietly Tearing India Apart: Bum Spray From The Front Or Back,1
224,"Can We Tell Which ""Force Awakens"" Character You're Thirsting For Based On Your Taste In Music",1
225,This Photo Shoot Against The Backdrop Of Ganesh Chaturthi Celebrations Is Absolutely Stunning,1
226,"Someone Made A Video Comparing The Indrani Mukerjea Case With Plot Points From ""Game Of Thrones""",1
227,ABC Apologised For Using A Photo Of The Wrong Indian Actress While Promoting Priyanka Chopra,1
228,Anti-terror amendments to be rushed through Australian parliament because of new 'potential threats',0
229,This Tattoo Artist Retouched His Wife's Tattoo Of Their Trans Son To Reflect His True Identity,1
230,"NASCAR: Edwards wins O'Reilly Auto Parts Challenge, Brad Keselowski clinches Nationwide Series",0
231,Michigan student and California engineer sue Amazon for remote deletion of 'Nineteen Eighty-Four',0
232,"Wikinews interviews Brenton Clutterbuck, candidate for the electorate of Maroochydore at the upcoming Queensland election",0
233,Local government officials confiscate London ice cream made from human breast milk for health reasons,0
234,Early reports indicate massive blizzard to strike northeastern portions of US late Thursday,0
235,"Deepika Padukone, Vin Diesel, Ruby Rose Are Training Intensely For ""XXX: The Return Of Xander Cage""",1
236,"Just A Reminder That The ""Pinky & The Brain"" Christmas Special Will Make You Cry Every Time",1
237,Wikinews interviews Molossian president Kevin Baugh on his country's recent intermicronational summit,0
238,This Story Of A Cancer Survivor Getting Her First Haircut Goes From Zero To Feels Real Fast,1
239,ACLU describes President Bush's veto of CIA waterboarding ban as 'a callous disregard for human rights',0
240,17 troops killed in bombing on Afghanistan-Pakistan border; Separate bombing kills dozens of civilians,0
241,Watch A Weatherman Flawlessly Pronounce llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch,1
242,"Palestinian security forces clash with militants, Palestinian Interrior Minister Nasser Yousef declares state of emergency",0
243,'Bloody Sunday Inquiry' publishes report into British Army killing of activists in Northern Ireland,0
244,"School closed after five-year-old boy dies from suspected swine flu in Buckinghamshire, England",0
245,"Chinese General threatens U.S. with nuclear weapons over possible Taiwan Strait conflict, Beijing downplays comment",0
246,Sachin Tendulkar Has Promised A Super Cool Reward To Anyone Who Can Help Find His Pal's Passport,1
247,"Hospital in Essex, England fined £50,000 after patient dies due to health and safety breaches",0
248,What Would You Say If Your Company Announced They Wanted To Replace  You With Robots Someday,1
249,Wikinews interviews Rich Mann and Kevin Smith of the United States Australian Football League about the upcoming National Championship,0
250,"'Fascinating' and 'provocative' research examines genetic elements of bipolar, schizophrenia",0
251,"2008 Taipei Cycle: Interview with Fma International about the design of ""Champion Cheongsam""",0
252,Filipino activist arrested for disrupting Manila Cathedral mass in Reproductive Health Bill protest,0
253,"6-year-old boy in Colorado found alive, unhurt after runaway balloon allegedly carried him away",0
254,"In Case You're Wondering, This Is What David Beckham Looks Like Dressed Up As Freddie Mercury",1
255,"Wikinews investigates: Advertisements disguised as news articles trick unknowing users out of money, credit card information",0
256,A Single College Student Got Tired Of Couples Pictures So She Did A Romantic Photo Shoot With Pizza,1
257,U.S. did not inform Pakistan of bin Laden mission because of suspicions he was being harbored by government,0
258,"Battle for Trafalgar Square, London as violence breaks out between demonstrators and riot police",0
259,U.S. Coast Guard investigation finds 'poor safety culture' contributed to Deepwater Horizon disaster,0
260,"'Invitational Games for the Deaf, Taipei 2008' starts, new slogan for 2009 Summer Deaflympics unveiled",0
261,Wikinews interviews Stephen Murphy about the upcoming by-election in the Higgins electorate of the Australian parliament,0
262,"Woman hospitalized after allegedly stabbing daughter to death at Fort MacArthur, California",0
263,A Dad Surprised His Kids With His Military Homecoming By Dressing Up As A Gift From Their Elf,1
264,The Best Jokes On The Internet As Queen Elizabeth II Became Britain's Longest-Reigning Monarch,1
265,Representative for ACLU tells Wikinews their opinion on lifting of Wikileaks court injunction,0
266,A Man With Crohn's Disease Shared A Photo To Prove That Looks Can Be Deceiving And It Went Viral,1
267,We Deep-Fried 12 Things That Weren't Mars Bars At A Scottish Chippy And This Is What Happened,1
268,Oil spill in Gulf of Mexico reported to have reached coast; offshore drilling ban announced by Obama administration,0
269,43 Important Pictures Of Me Watching The Livestream Of Shia LaBeouf Watching His Own Movies,1
270,NAFTA dismisses US claims of Canadian violation of Trade Agreement rules in softwood lumber dispute,0
271,"Gus Kenworthy's Instagram Photos Are So Good, He Might Have Second Career As A Photographer",1
272,"Justin Bieber Called Bette Midler ""Britt Meddler"" And Hopefully This Is The Start Of An Amazing Feud",1
273,A Canadian Mailman Just Found The Woman Who Wrote A Heartbreaking Letter To Santa 22 Years Ago,1
274,23 Things You'll Understand If You're In A Committed Relationship With Your Hair Straighteners,1
275,"After Her Wedding Was Canceled, A Bride's Family Turned Her Reception Into A Feast For The Homeless",1
276,"Oprah Revealed That She Repeatedly Yelled ""You Get A Car!"" Because Everyone Was Confused As Fuck",1
277,Neil Patrick Harris And His Kids Singing In The Morning Will Make You Wish You Were Part Of His Family,1
278,"Emergency declared in US state of Washington, eight additional casualties, many still without power",0
279,A 12-Year-Old Sikh Boy In Texas Was Arrested When A Classmate Joked About A Bomb In His Bag,1
280,"What Happened To This Guy On ""First Dates"" Will Give Hope To Socially Anxious People Everywhere",1
281,These Teens Used Actual Scarlet Letters As A Clever Way To Protest Their  School's Sexist Dress Code,1
282,"Australian football: Melbourne through to A-League Grand Final, Adelaide to play Queensland in preliminary final",0
283,General who oversaw military tribunals at Guantanamo is being investigated for abuse of power,0
284,"Tsunami bulletin issued from Pacific coast of California-Mexico border to Vancouver, Canada",0
285,A 22-Year-Old Whose Husband And Baby Were Killed By A Drunk Driver Has Posted A Gut-Wrenching Facebook Plea,1
286,Here's What You Need To Know About The Indian Law That Let Police Arrest An Actor For Mimicry,1
287,Harry Potter And The Cursed Child Tickets Have Gone On Sale And People Are Losing Their Shit,1
288,A Photo Of A Trauma Nurse Cuddling With Her Son After Work Is Going Viral For All The Right Reasons,1
289,"Teachers at Australian school shocked at no warning over redundancies, can apply before 'externals'",0
290,Every Piece Of Evidence That Proves Anna Faris And Chris Pratt Have The Cutest Family In Existence,1
291,Here's A Mouthwatering Step-By-Step Guide To Making The Most Insanely Delicious Fried Chicken,1
292,"Man dies after being shot outside his house in Lanarkshire, Scotland; murder investigation launched",0
293,"Craig David Turned Justin Bieber's ""Love Yourself"" Into A Soulful Garage Tune And It's Amazing",1
294,Bush Administration changes official position on legitimacy of Qur'an desecration allegations,0
295,Can You Get Through These Pictures Of Zac Efron Wearing Tiny Shorts Without Gasping For Air,1
296,This Model Had The Perfect Response When A Reporter Asked What She'd Eat After A Fashion Show,1
297,"Adele's Classroom-Instruments Rendition Of ""Hello"" With Jimmy Fallon And The Roots Is Obviously Amazing",1
298,Suspicions of nepotism arise from pulping of new Australian industrial relations information booklets,0
299,"SOUND THE ALARMS: Pepsi Perfect From ""Back To The Future Part II"" Is Finally Being Released",1
300,"Past Eurovision contestants give advice to this year's performers, speculate on who will win",0
301,A Father Surprised His Daughter By Standing Up Without His Wheelchair And Walked Her Down The Aisle,1
302,Wikinews interviews Dr Clive Hamilton about the upcoming by-election in the Higgins electorate of the Australian parliament,0
303,"The Best Husband Ever Surprised His Wife With An Incredibly Detailed ""Harry Potter"" Birthday Party",1
304,Inspectors close Chicago landmark Healthy Food restaurant after finding dead mouse in cooler,0
305,Queen JoJo Just Slayed All Your Faves (Except Adele) With This Powerful Tonight Show Performance,1
306,"Former Canadian Prime Minister Trudeau criticised in new book ""Brian Mulroney: Memoirs 1939-1993""",0
307,Tarja Turunen to perform at Doro Pesch's 25th anniversary concert and record duets with her,0
308,Lostprophets singer Ian Watkins sentenced to 29 years in prison for attempting to rape baby,0
309,Today's Dose Of WTF: Four Topless Women Did Bollywood Dancing At Times Square Wearing Only Body Paint,1
310,Ice hockey: Blackhawks score two goals in 28 seconds to gain 2-0 series lead in the 2010 Stanley Cup Finals,0
311,UNHCR criticises Rwanda's and Burundi's decision to re-label refugees as illegal immigrants,0
312,"Christopher Walken Reading Edgar Allan Poe's ""The Raven"" Will Make Your Literary-Loving Heart Explode",1
